date,A_passive_value,B_timing_value
1976-01-01,1000.00,1000.00
1976-02-01,1041.78,1037.77
1976-03-01,1050.14,1045.46
1976-04-01,2061.64,2055.98
1976-05-01,2053.74,2049.20
1976-06-01,2072.24,2066.17
1976-07-01,3127.47,3116.22
1976-08-01,3109.94,3100.93
1976-09-01,3185.75,3169.67
1976-10-01,4086.73,4081.05
1976-11-01,4071.75,4068.23
1976-12-01,4225.93,4207.65
1977-01-01,5203.22,5187.89
1977-02-01,5079.98,5077.80
1977-03-01,5077.23,5076.16
1977-04-01,6016.62,6022.45
1977-05-01,6020.50,6026.95
1977-06-01,6074.67,6076.71
1977-07-01,7152.58,7147.83
1977-08-01,7003.90,7015.19
1977-09-01,6921.58,6942.28
1977-10-01,7769.46,7806.55
1977-11-01,7845.69,7876.50
1977-12-01,7839.40,7872.18
1978-01-01,8573.61,8634.33
1978-02-01,8490.28,8560.84
1978-03-01,8512.84,8582.66
1978-04-01,9924.01,9954.24
1978-05-01,10470.25,10447.55
1978-06-01,10540.78,10512.71
1978-07-01,11534.21,11508.50
1978-08-01,12379.46,12271.08
1978-09-01,12428.93,12317.48
1978-10-01,13084.22,13009.10
1978-11-01,12372.74,12370.81
1978-12-01,12610.65,12586.97
1979-01-01,14138.44,14064.02
1979-02-01,13989.01,13931.74
1979-03-01,14316.51,14228.71
1979-04-01,15664.53,15544.15
1979-05-01,15368.00,15279.66
1979-06-01,15739.54,15616.44
1979-07-01,16963.18,16820.11
1979-08-01,17813.77,17588.21
1979-09-01,18088.18,17837.75
1979-10-01,18481.77,18294.55
1979-11-01,18422.18,18243.66
1979-12-01,19233.49,18976.59
1980-01-01,20870.59,20552.73
1980-02-01,21788.03,21381.35
1980-03-01,19875.52,19663.02
1980-04-01,20644.55,20458.08
1980-05-01,21684.24,21396.90
1980-06-01,23172.36,22739.32
1980-07-01,25323.91,24778.82
1980-08-01,26211.43,25580.87
1980-09-01,26954.73,26253.13
1980-10-01,28850.92,28062.99
1980-11-01,30182.30,29264.70
1980-12-01,29806.60,28930.03
1981-01-01,30809.57,29936.19
1981-02-01,29863.66,29088.52
1981-03-01,31101.01,30205.78
1981-04-01,32503.39,31571.58
1981-05-01,31977.72,31102.31
1981-06-01,32251.96,31352.96
1981-07-01,32601.68,31771.55
1981-08-01,32863.33,32011.04
1981-09-01,30134.79,29559.38
1981-10-01,31655.29,31031.86
1981-11-01,32618.79,31903.21
1981-12-01,33003.49,32253.64
1982-01-01,32417.96,31830.88
1982-02-01,31797.52,31276.86
1982-03-01,30924.82,30495.83
1982-04-01,33616.20,33022.46
1982-05-01,33807.69,33199.38
1982-06-01,32025.82,31600.27
1982-07-01,33103.91,32675.14
1982-08-01,33366.75,32916.45
1982-09-01,37402.91,36553.77
1982-10-01,41724.82,40548.26
1982-11-01,43602.40,42243.03
1982-12-01,44193.43,42779.91
1983-01-01,46928.35,45346.31
1983-02-01,47927.93,46251.07
1983-03-01,49780.64,47923.66
1983-04-01,52870.13,50809.35
1983-05-01,55209.11,52919.76
1983-06-01,56177.20,53796.38
1983-07-01,57575.01,55159.76
1983-08-01,56189.08,53917.93
1983-09-01,58051.09,55599.27
1983-10-01,59427.22,56943.33
1983-11-01,58748.90,56338.55
1983-12-01,58673.63,56276.53
1984-01-01,60598.29,58114.45
1984-02-01,57500.39,55332.26
1984-03-01,57754.75,55567.09
1984-04-01,59047.68,56836.66
1984-05-01,58898.54,56708.53
1984-06-01,57809.92,55734.88
1984-07-01,58284.75,56268.35
1984-08-01,63650.77,61104.06
1984-09-01,64546.31,61916.36
1984-10-01,65280.12,62683.11
1984-11-01,66119.56,63445.09
1984-12-01,65651.73,63030.55
1985-01-01,69735.76,66812.69
1985-02-01,73771.62,70451.65
1985-03-01,73418.76,70140.78
1985-04-01,75171.09,71824.59
1985-05-01,77227.50,73682.24
1985-06-01,79166.65,75434.38
1985-07-01,81945.70,78042.44
1985-08-01,80433.55,76688.59
1985-09-01,78917.38,75331.14
1985-10-01,81097.64,77400.48
1985-11-01,86304.53,82093.97
1985-12-01,90873.94,86213.73
1986-01-01,92557.06,87835.86
1986-02-01,97830.26,92589.23
1986-03-01,103878.89,98040.49
1986-04-01,107726.65,101610.99
1986-05-01,108256.48,102095.53
1986-06-01,111648.42,105155.98
1986-07-01,110634.38,104351.06
1986-08-01,113157.78,106630.02
1986-09-01,110378.36,104136.45
1986-10-01,111279.16,105055.09
1986-11-01,115210.60,108601.48
1986-12-01,117179.48,110381.58
1987-01-01,125999.30,118427.55
1987-02-01,134141.22,125763.58
1987-03-01,140011.79,131055.41
1987-04-01,139812.71,130984.58
1987-05-01,140054.35,131210.56
1987-06-01,146354.62,136889.33
1987-07-01,151923.95,142010.27
1987-08-01,161729.14,150843.65
1987-09-01,156828.06,146441.41
1987-10-01,139237.84,130718.96
1987-11-01,122106.83,115309.98
1987-12-01,120477.08,113852.15
1988-01-01,126593.19,119465.60
1988-02-01,130806.93,123267.10
1988-03-01,135034.68,127081.23
1988-04-01,134838.24,127013.60
1988-05-01,131887.62,124367.39
1988-06-01,139798.51,131496.55
1988-07-01,140369.44,132119.76
1988-08-01,137957.21,129958.32
1988-09-01,140615.88,132360.69
1988-10-01,146961.55,138181.39
1988-11-01,143992.57,135519.07
1988-12-01,147341.77,138543.14
1989-01-01,153517.38,144210.99
1989-02-01,158583.22,148780.24
1989-03-01,158326.86,148559.51
1989-04-01,164970.90,154649.16
1989-05-01,171759.95,160769.51
1989-06-01,177587.11,166024.17
1989-07-01,183559.86,171509.88
1989-08-01,192170.20,179269.60
1989-09-01,193045.61,180067.90
1989-10-01,194598.21,181575.69
1989-11-01,191069.08,178410.10
1989-12-01,196298.07,183126.85
1990-01-01,192957.48,180230.98
1990-02-01,188081.09,175853.08
1990-03-01,193172.76,180446.45
1990-04-01,194551.35,181798.07
1990-05-01,202043.38,188551.96
1990-06-01,208448.07,194327.27
1990-07-01,209801.85,195656.78
1990-08-01,193308.85,180824.37
1990-09-01,184917.20,173283.18
1990-10-01,181634.94,170440.48
1990-11-01,187054.59,175329.68
1990-12-01,195634.05,183062.72
1991-01-01,195293.62,182867.88
1991-02-01,217960.91,203280.17
1991-03-01,224596.99,209264.40
1991-04-01,230670.26,214842.10
1991-05-01,230257.64,214482.70
1991-06-01,231056.65,215213.79
1991-07-01,233860.02,217848.82
1991-08-01,240124.97,223499.46
1991-09-01,239397.15,222856.62
1991-10-01,240832.01,224260.21
1991-11-01,240870.05,224306.85
1991-12-01,243122.52,226346.50
1992-01-01,262011.54,243459.06
1992-02-01,260437.25,242054.84
1992-03-01,257800.64,239694.54
1992-04-01,259482.02,241320.46
1992-05-01,264849.02,246163.61
1992-06-01,261328.85,243008.34
1992-07-01,267325.80,248518.51
1992-08-01,269843.26,250797.31
1992-09-01,270863.78,251728.88
1992-10-01,268662.02,249860.43
1992-11-01,276068.77,256539.83
1992-12-01,285099.53,264680.85
1993-01-01,286506.92,266060.87
1993-02-01,291447.00,270520.50
1993-03-01,297713.56,276173.97
1993-04-01,294719.00,273592.46
1993-05-01,296854.90,275528.56
1993-06-01,299423.24,277853.86
1993-07-01,300605.90,279032.09
1993-08-01,305903.98,283814.37
1993-09-01,310048.89,287558.83
1993-10-01,314899.41,292038.36
1993-11-01,314923.16,292074.00
1993-12-01,317717.10,294602.81
1994-01-01,324232.29,300580.78
1994-02-01,323986.84,300374.36
1994-03-01,319373.86,296237.19
1994-04-01,309686.40,287633.02
1994-05-01,312963.63,290597.25
1994-06-01,316431.56,293733.13
1994-07-01,315789.68,293270.21
1994-08-01,325522.56,302044.77
1994-09-01,328183.59,304454.69
1994-10-01,327726.44,304158.26
1994-11-01,326514.23,303082.47
1994-12-01,323165.15,300083.53
1995-01-01,332086.49,308227.99
1995-02-01,344769.19,319657.86
1995-03-01,353588.97,327611.13
1995-04-01,365958.81,338859.48
1995-05-01,378210.23,349901.44
1995-06-01,390231.35,360736.16
1995-07-01,405074.73,374210.94
1995-08-01,407153.27,376097.55
1995-09-01,422289.86,389736.43
1995-10-01,427143.54,394220.72
1995-11-01,437217.23,403303.22
1995-12-01,452035.12,416655.52
1996-01-01,453770.04,418333.17
1996-02-01,480562.41,442462.72
1996-03-01,479597.94,441611.14
1996-04-01,481542.95,443478.12
1996-05-01,492882.44,453700.33
1996-06-01,499184.40,459388.78
1996-07-01,482829.94,444786.48
1996-08-01,497680.59,458168.98
1996-09-01,507752.29,467250.45
1996-10-01,529669.13,487092.58
1996-11-01,556428.45,511193.12
1996-12-01,563095.73,517210.86
1997-01-01,582438.80,534736.84
1997-02-01,607839.91,557615.25
1997-03-01,604048.90,554220.78
1997-04-01,584479.54,536725.83
1997-05-01,638355.88,585232.20
1997-06-01,672423.82,615911.03
1997-07-01,711993.54,651641.50
1997-08-01,714469.78,653888.03
1997-09-01,722986.31,661570.86
1997-10-01,735882.16,673295.09
1997-11-01,727404.47,665683.35
1997-12-01,746568.79,682949.44
1998-01-01,749338.82,685560.69
1998-02-01,797312.68,728755.59
1998-03-01,839672.88,766898.23
1998-04-01,869269.42,793653.59
1998-05-01,867340.88,791936.59
1998-06-01,868350.96,792864.37
1998-07-01,908145.98,828798.63
1998-08-01,844839.06,771841.34
1998-09-01,803455.04,734614.70
1998-10-01,814826.49,744968.00
1998-11-01,904248.68,825467.17
1998-12-01,941360.00,858886.59
1999-01-01,989876.90,902671.07
1999-02-01,989216.55,902096.21
1999-03-01,1018136.40,928143.56
1999-04-01,1062407.42,968107.00
1999-05-01,1061357.42,967181.73
1999-06-01,1054864.39,961357.75
1999-07-01,1103569.44,1005312.08
1999-08-01,1061916.47,967844.40
1999-09-01,1055566.04,962149.02
1999-10-01,1043134.26,951080.47
1999-11-01,1117258.86,1017812.85
1999-12-01,1148639.65,1046075.85
2000-01-01,1148273.54,1045866.67
2000-02-01,1119818.44,1020277.59
2000-03-01,1163949.96,1060016.51
2000-04-01,1181532.36,1075961.24
2000-05-01,1147991.09,1045794.88
2000-06-01,1184307.56,1078500.52
2000-07-01,1195378.23,1088584.97
2000-08-01,1206611.33,1098715.81
2000-09-01,1193584.14,1087012.42
2000-10-01,1132347.92,1032020.94
2000-11-01,1123599.81,1024168.96
2000-12-01,1086295.47,990616.41
2001-01-01,1092238.19,996086.25
2001-02-01,1068905.17,975108.12
2001-03-01,971849.62,887779.75
2001-04-01,977210.24,892725.97
2001-05-01,1044435.79,953250.82
2001-06-01,1019487.85,930819.58
2001-07-01,993367.16,907432.89
2001-08-01,973044.46,889164.60
2001-09-01,863602.99,790689.44
2001-10-01,892100.38,816459.30
2001-11-01,937179.52,857716.19
2001-12-01,950919.04,870290.73
2002-01-01,949088.25,868699.97
2002-02-01,917267.51,839577.98
2002-03-01,962628.87,881092.60
2002-04-01,929797.94,851130.89
2002-05-01,903574.18,827131.82
2002-06-01,850073.93,778169.91
2002-07-01,759618.73,695472.48
2002-08-01,768269.20,703392.46
2002-09-01,731717.02,669926.94
2002-10-01,722714.14,661768.76
2002-11-01,770598.12,705614.75
2002-12-01,762621.96,698311.21
2003-01-01,761924.99,697757.34
2003-02-01,713048.75,652997.35
2003-03-01,722374.70,661537.89
2003-04-01,761558.41,697505.85
2003-05-01,802014.00,734558.84
2003-06-01,847762.37,776459.43
2003-07-01,853814.19,782086.36
2003-08-01,852394.09,780785.56
2003-09-01,879339.81,805467.61
2003-10-01,898171.32,822801.11
2003-11-01,909044.46,832761.83
2003-12-01,936895.85,858276.07
2004-01-01,984131.30,901631.67
2004-02-01,994825.48,911428.44
2004-03-01,979254.51,897164.52
2004-04-01,989735.03,906849.50
2004-05-01,964355.72,883601.05
2004-06-01,991913.89,908846.11
2004-07-01,970707.12,889503.88
2004-08-01,957237.88,877166.07
2004-09-01,983874.22,901566.40
2004-10-01,985883.63,903491.56
2004-11-01,1032948.69,946604.73
2004-12-01,1061121.82,972412.54
2005-01-01,1047804.93,960298.66
2005-02-01,1065420.70,976435.61
2005-03-01,1062697.61,973942.08
2005-04-01,1038098.09,951493.66
2005-05-01,1051965.74,964197.27
2005-06-01,1074905.93,985211.23
2005-07-01,1095337.98,1004011.78
2005-08-01,1098733.73,1007123.37
2005-09-01,1101806.78,1009939.38
2005-10-01,1073892.95,984456.24
2005-11-01,1116435.68,1023424.98
2005-12-01,1140373.52,1045352.42
2006-01-01,1158100.18,1061674.71
2006-02-01,1157907.47,1061499.71
2006-03-01,1175115.57,1077262.92
2006-04-01,1185496.89,1086857.21
2006-05-01,1176171.35,1078317.34
2006-06-01,1144346.59,1049169.71
2006-07-01,1153586.35,1057718.47
2006-08-01,1180023.77,1081934.85
2006-09-01,1209892.22,1109293.77
2006-10-01,1254640.87,1150365.82
2006-11-01,1279754.30,1173369.39
2006-12-01,1307246.82,1198551.98
2007-01-01,1317303.77,1207849.33
2007-02-01,1338328.57,1227108.02
2007-03-01,1305219.78,1196786.11
2007-04-01,1360781.36,1247760.93
2007-05-01,1406935.70,1290035.24
2007-06-01,1411788.24,1294481.99
2007-07-01,1420900.66,1302914.39
2007-08-01,1361207.09,1248245.37
2007-09-01,1403060.71,1286580.45
2007-10-01,1446035.14,1326026.16
2007-11-01,1376534.21,1262375.81
2007-12-01,1393578.74,1277988.96
2008-01-01,1302112.04,1194305.19
2008-02-01,1281747.45,1175657.26
2008-03-01,1248080.62,1144826.50
2008-04-01,1302046.69,1194338.28
2008-05-01,1335413.00,1224899.42
2008-06-01,1278703.59,1172966.05
2008-07-01,1201977.96,1102785.28
2008-08-01,1227346.12,1126021.29
2008-09-01,1167850.07,1071536.78
2008-10-01,933019.27,856561.02
2008-11-01,852729.72,782850.96
2008-12-01,849734.79,780101.45
2009-01-01,841425.46,772555.00
2009-02-01,785028.86,720774.45
2009-03-01,740380.85,679780.86
2009-04-01,832608.72,764541.76
2009-05-01,888058.98,815458.88
2009-06-01,913536.16,838853.26
2009-07-01,926207.88,850570.81
2009-08-01,1001422.86,919643.49
2009-09-01,1037978.23,953213.64
2009-10-01,1063921.97,977120.39
2009-11-01,1086203.97,997584.47
2009-12-01,1110381.32,1019789.28
2010-01-01,1126448.84,1034627.50
2010-02-01,1093799.02,1004642.16
2010-03-01,1158803.88,1064342.61
2010-04-01,1207174.98,1108848.26
2010-05-01,1136164.16,1043633.53
2010-06-01,1095903.45,1006659.16
2010-07-01,1095160.17,1006058.49
2010-08-01,1104618.10,1014746.92
2010-09-01,1141856.48,1048955.61
2010-10-01,1195124.23,1097970.89
2010-11-01,1224893.76,1125318.08
2010-12-01,1270383.08,1167105.87
2011-01-01,1315366.19,1208510.02
2011-02-01,1356811.59,1246582.54
2011-03-01,1341717.59,1232717.36
2011-04-01,1372516.91,1261091.67
2011-05-01,1381565.02,1269403.73
2011-06-01,1330963.82,1222922.11
2011-07-01,1373246.80,1261845.04
2011-08-01,1230420.25,1130647.57
2011-09-01,1220709.22,1121727.84
2011-10-01,1258561.28,1156580.21
2011-11-01,1280801.60,1177010.31
2011-12-01,1300714.88,1195302.86
2012-01-01,1363922.32,1253445.52
2012-02-01,1420697.07,1305597.27
2012-03-01,1461667.66,1343232.03
2012-04-01,1462109.15,1343720.01
2012-05-01,1416916.06,1302209.41
2012-06-01,1400587.36,1287211.98
2012-07-01,1442499.73,1325792.91
2012-08-01,1491367.31,1370680.57
2012-09-01,1536423.99,1412067.82
2012-10-01,1534087.88,1410004.86
2012-11-01,1490558.23,1370023.62
2012-12-01,1522985.85,1399810.48
2013-01-01,1588998.48,1460527.25
2013-02-01,1626070.16,1494579.50
2013-03-01,1670339.17,1535242.54
2013-04-01,1695622.42,1558548.55
2013-05-01,1773184.76,1629791.04
2013-06-01,1753364.55,1611588.13
2013-07-01,1811427.40,1665001.95
2013-08-01,1816001.76,1669205.47
2013-09-01,1837656.99,1689097.51
2013-10-01,1877570.29,1725840.84
2013-11-01,1950044.40,1792408.70
2013-12-01,1979717.47,1819664.90
2014-01-01,1999877.33,1838264.97
2014-02-01,1997276.77,1835878.83
2014-03-01,2051648.03,1885819.36
2014-04-01,2056786.69,1890622.98
2014-05-01,2088297.38,1919566.75
2014-06-01,2155046.00,1980875.04
2014-07-01,2188281.65,2011484.67
2014-08-01,2178938.76,2002906.45
2014-09-01,2217681.03,2038491.97
2014-10-01,2159988.25,1985588.43
2014-11-01,2283229.67,2098781.18
2014-12-01,2297702.78,2112076.79
2015-01-01,2273197.23,2089654.41
2015-02-01,2337469.56,2148687.27
2015-03-01,2338763.67,2149878.92
2015-04-01,2360307.59,2169750.22
2015-05-01,2383412.74,2190973.82
2015-06-01,2373032.97,2181444.09
2015-07-01,2372143.33,2180711.88
2015-08-01,2314633.14,2127897.06
2015-09-01,2210310.42,2032088.86
2015-10-01,2306732.15,2120729.20
2015-11-01,2374376.38,2182857.85
2015-12-01,2348187.73,2158809.63
2016-01-01,2198442.96,2021368.06
2016-02-01,2186353.52,2010268.95
2016-03-01,2325465.24,2138032.96
2016-04-01,2392305.21,2199504.22
2016-05-01,2385023.86,2192821.10
2016-06-01,2410459.91,2216185.39
2016-07-01,2490943.35,2290186.38
2016-08-01,2520816.16,2317625.31
2016-09-01,2509758.07,2307473.93
2016-10-01,2498059.17,2296815.67
2016-11-01,2528064.87,2324376.61
2016-12-01,2627821.40,2415995.14
2017-01-01,2666599.87,2451694.43
2017-02-01,2735303.36,2514794.25
2017-03-01,2783150.84,2558740.55
2017-04-01,2779864.67,2555808.84
2017-05-01,2826910.36,2599018.66
2017-06-01,2877128.39,2645141.85
2017-07-01,2906551.08,2672249.00
2017-08-01,2913753.67,2678868.50
2017-09-01,2961925.68,2723112.58
2017-10-01,3043928.40,2798507.00
2017-11-01,3092313.74,2842946.89
2017-12-01,3181480.18,2924838.17
2018-01-01,3337160.51,3067894.24
2018-02-01,3240827.15,2979432.21
2018-03-01,3242920.02,2981359.53
2018-04-01,3189958.74,2932809.75
2018-05-01,3252533.65,2990280.32
2018-06-01,3321258.70,3053398.84
2018-07-01,3374759.23,3102617.72
2018-08-01,3457468.00,3178577.78
2018-09-01,3515544.74,3231917.39
2018-10-01,3381231.91,3108660.64
2018-11-01,3311033.87,3044201.62
2018-12-01,3126857.21,2875072.70
2019-01-01,3182128.08,2925917.16
2019-02-01,3367611.22,3096256.82
2019-03-01,3433213.03,3156506.62
2019-04-01,3562039.09,3274898.43
2019-05-01,3507476.19,3224798.60
2019-06-01,3556747.43,3270051.60
2019-07-01,3693876.38,3396067.65
2019-08-01,3578095.00,3289750.53
2019-09-01,3688487.37,3391131.84
2019-10-01,3689848.94,3392470.39
2019-11-01,3853445.49,3542709.19
2019-12-01,3948599.38,3630096.53
2020-01-01,4081735.22,3752444.71
2020-02-01,4086718.07,3757027.37
2020-03-01,3313604.64,3047081.05
2020-04-01,3457706.44,3179498.94
2020-05-01,3661274.26,3366442.10
2020-06-01,3899559.94,3585266.65
2020-07-01,4036125.60,3710763.54
2020-08-01,4273994.86,3929204.80
2020-09-01,4247196.80,3904603.60
2020-10-01,4321503.47,3972928.01
2020-11-01,4492380.76,4129850.40
2020-12-01,4683759.79,4305599.36
2021-01-01,4815684.92,4426834.11
2021-02-01,4935669.08,4537021.61
2021-03-01,4976208.58,4574256.18
2021-04-01,5276850.29,4850420.75
2021-05-01,5316966.57,4887266.73
2021-06-01,5413226.14,4975668.14
2021-07-01,5580314.83,5129192.44
2021-08-01,5702253.74,5241174.54
2021-09-01,5697435.40,5236758.07
2021-10-01,5724197.84,5261423.31
2021-11-01,5995796.38,5510834.12
2021-12-01,6011709.44,5525455.02
2022-01-01,5889351.99,5413187.14
2022-02-01,5718409.44,5256223.68
2022-03-01,5667367.85,5209362.09
2022-04-01,5675072.45,5216527.28
2022-05-01,5228289.30,4806268.45
2022-06-01,5052128.12,4644513.66
2022-07-01,5076604.61,4667080.17
2022-08-01,5403913.31,4967645.66
2022-09-01,5010648.70,4606532.94
2022-10-01,4856760.77,4465313.52
2022-11-01,5113445.15,4701026.32
2022-12-01,5113999.32,4701544.35
2023-01-01,5185391.29,4767191.82
2023-02-01,5348574.08,4917045.25
2023-03-01,5210290.60,4790074.55
2023-04-01,5419505.34,4982279.01
2023-05-01,5459484.77,5018999.91
2023-06-01,5729302.70,5266771.34
2023-07-01,5952372.88,5471698.14
2023-08-01,5885407.42,5410216.70
2023-09-01,5962532.54,5481046.83
2023-10-01,5638230.52,5183347.19
2023-11-01,5890018.83,5414561.64
2023-12-01,6187143.83,5687406.50
2024-01-01,6345878.00,5833255.82
2024-02-01,6619909.02,6084894.06
2024-03-01,6829404.66,6277272.92
2024-04-01,6753691.30,6207841.37
2024-05-01,6915833.05,6356737.45
2024-06-01,7153497.39,6574981.70
2024-07-01,7316797.67,6725023.37
2024-08-01,7237803.20,6652498.02
2024-09-01,7426800.66,6826053.95
2024-10-01,7653804.89,7034591.04
2024-11-01,7835625.56,7201556.72
2024-12-01,7942643.42,7299835.55
2025-01-01,7902165.58,7262759.86
2025-02-01,7980361.01,7334572.84
2025-03-01,7511598.10,6904148.65
2025-04-01,7097000.69,6523542.98
2025-05-01,7680436.40,7059284.82
2025-06-01,7969933.76,7325122.47
2025-07-01,8323239.47,7649632.91
2025-08-01,8471885.27,7786135.73
2025-09-01,8703307.42,7998646.45
2025-10-01,8904797.49,8183754.38
2025-11-01,8911672.06,8190078.54
2025-12-01,9059924.72,8326220.31
